Processo                 ; Crime                                                    ; Cidade                   ; Vara                                                                  ; Juiz                                              ; Pena_Base     ; Pena_Definitiva        ; anos_b; meses_b; dias_b; anos_d; meses_d; dias_d
1500732-86.2022.8.26.0566; Tráfico de Drogas e Condutas Afins                       ; Sã£o Carlos              ; 2ªª Vara Criminal                                                     ; DANIEL FELIPE SCHERER BORBOREMA                   ; N/A               ; 6 ano              ;      0;       0;      0;      6;       0;      0
1503362-96.2021.8.26.0228; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 22ªª Vara Criminal                                                    ; ãrica Aparecida Ribeiro Lopes e Navarro Rodrigues ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1501240-76.2022.8.26.0616; Tráfico de Drogas e Condutas Afins                       ; Mogi das Cruzes          ; 1ªª Vara Criminal                                                     ; Tatiana Saes Valverde Ormeleze                    ; 5 ano 10 mês 0 dia; 1 ano 8 mês 0 dia  ;      5;      10;      0;      1;       8;      0
1501355-10.2022.8.26.0548; Tráfico de Drogas e Condutas Afins                       ; Cosmã³polis              ; 1ªª Vara Judicial                                                     ; Maria Thereza Nogueira Pinto                      ; 5 ano 0 mês 0 dia ; 5 ano 10 mês 0 dia ;      5;       0;      0;      5;      10;      0
1501540-69.2021.8.26.0617; Tráfico de Drogas e Condutas Afins                       ; Sã£o José dos Campos     ; 3ªª Vara Criminal                                                     ; NAIRA ASSIS BARBOSA                               ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
0012537-77.2006.8.26.0047; Tráfico de Drogas e Condutas Afins                       ; Assis                    ; 2ªª  Vara Criminal e da Violência Doméstica e Familiar contra a Mulher; Alexandro Conceiã§ã£o dos Santos                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1501067-04.2022.8.26.0535; Tráfico de Drogas e Condutas Afins                       ; Guarulhos                ; 1ªª Vara Criminal                                                     ; MIRIAN KEIKO SANCHES MACEDO                       ; 6 ano 0 mês 0 dia ; 2 ano 4 mês 0 dia  ;      6;       0;      0;      2;       4;      0
